Tên xe,Loại xe + Năm SX,Năm sản xuất:,Giá xe (VNĐ),Số Km (số),Nơi bán,Liên hệ,Ngày đăng,Lượt xem,Link xe,Tình trạng:,Xuất xứ:,Kiểu dáng:,Động cơ:,Màu ngoại thất:,Màu nội thất:,Số chỗ ngồi:,Số cửa:
Lexus LM 500h - 2025,Xe cũ - 2025,2025,9290000000,2000,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",12/11/2025,2,https://bonbanh.com/xe-lexus-lm-500h-2025-6403325,Xe đã dùng,Nhập khẩu,Van/Minivan,Hybrid  2.4 L,Đen,Đen,6 chỗ,5 cửa
Lexus LM 500h - 2025,Xe cũ - 2025,2025,9290000000,2000,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,12/11/2025,2,https://bonbanh.com/xe-lexus-lm-500h-2025-6403965,Xe đã dùng,Nhập khẩu,Van/Minivan,Hybrid  2.4 L,Đen,Đen,6 chỗ,5 cửa
Porsche Macan 2.0 - 2017,Xe cũ - 2017,2017,1690000000,69000,Hà Nội,LH: Việt Thái Hà 517 Kim Mã - Ba Đình ĐT:,12/11/2025,3,https://bonbanh.com/xe-porsche-macan-2.0-2017-6366327,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.0 L,Đen,Đỏ,5 chỗ,5 cửa
Lexus ES 350 - 2015,Xe cũ - 2015,2015,1050000000,73000,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",12/11/2025,3,https://bonbanh.com/xe-lexus-es-350-2015-5774413,Xe đã dùng,Nhập khẩu,Sedan,Xăng  3.5 L,Đen,Kem,5 chỗ,4 cửa
Porsche Macan 2.0 - 2017,Xe cũ - 2017,2017,1690000000,68000,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",12/11/2025,2,https://bonbanh.com/xe-porsche-macan-2.0-2017-6359125,Xe đã dùng,Nhập khẩu,SUV,Xăng  2.0 L,Đen,Đỏ,5 chỗ,5 cửa
Lexus ES 250 - 2022,Xe cũ - 2022,2022,2190000000,29500,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",12/11/2025,3,https://bonbanh.com/xe-lexus-es-250-2022-6126598,Xe đã dùng,Nhập khẩu,Sedan,Xăng  2.5 L,Xanh,Nâu,5 chỗ,4 cửa
Mercedes Benz GLC 200 - 2019,Xe cũ - 2019,2019,950000000,80000,Hà Nội,"LH: Diamond Luxury Car 45, 46 D11, Glemxico, Lê Trọng Tấn, Hoài Đức, Hà Nội ĐT:",12/11/2025,2,https://bonbanh.com/xe-mercedes_benz-glc-200-2019-6519860,Xe đã dùng,Lắp ráp trong nước,SUV,Xăng  2.0 L,Trắng,Nâu,5 chỗ,5 cửa
Lexus LX 570 - 2015,Xe cũ - 2015,2015,3199000000,100000,Hà Nội,"LH: Hoàng Quốc Việt 98 Nguyễn Chí Thanh,Đống Đa,Hà Nội ĐT:",12/11/2025,4,https://bonbanh.com/xe-lexus-lx-570-2015-6468396,Xe đã dùng,Nhập khẩu,SUV,Xăng  5.7 L,Đen,Nâu,7 chỗ,5 cửa
Mercedes Benz S class S400L - 2016,Xe cũ - 2016,2016,1200000000,0,Hà Nội,"LH: Quang Anh 25t2 Hoàng Đạo Thúy, phường Yên Hò ĐT: -",12/11/2025,2,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-6477917,Xe đã dùng,Lắp ráp trong nước,Sedan,Xăng  3.0 L,Đen,Nâu,5 chỗ,4 cửa
Hyundai i10 Grand 1.2 MT - 2017,Xe cũ - 2017,2017,170000000,80000,Hà Nội,LH: Bắc Nguyễn 388 Nguyễn Xiển Thanh Xuân Hà Nội ĐT:,12/11/2025,3,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-2017-6524265,Xe đã dùng,Nhập khẩu,Sedan,Xăng  1.25 L,Bạc,Đen,5 chỗ,4 cửa
